model,accuracy_pct,precision,recall,f1,loss,z_score,training_time_sec,training_time_min
ResNet50,99.06976744186046,1.0,0.9787234042553191,0.989247311827957,0.03449669681316198,15.969476641356561,223.2267997264862,3.7204466621081034
MobileNetV2,97.20930232558139,0.9782608695652174,0.9574468085106383,0.967741935483871,0.1070108107356138,14.761782102850514,207.32114124298096,3.4553523540496824
EfficientNetB0,94.88372093023256,0.9662921348314607,0.9148936170212766,0.9398907103825137,0.13520585603492205,13.019824208104918,212.6035258769989,3.543392097949982
Custom_CNN,79.06976744186046,0.8356164383561644,0.648936170212766,0.7305389221556886,0.48931783604067425,8.933130308650053,248.7762303352356,4.1462705055872595
